HomeTeam,AwayTeam,HomeElo,AwayElo,EloDifference,HomeRecentPoints,AwayRecentPoints,HomeRecentGoalsFor,AwayRecentGoalsFor,HomeRecentGoalsAgainst,AwayRecentGoalsAgainst,HomeRecentGoalDifference,AwayRecentGoalDifference,HomeRecentWins,AwayRecentWins,HomeRecentDraws,AwayRecentDraws,HomeRecentLosses,AwayRecentLosses,RecentPointsDifference,RecentGoalDifferenceDifference,RecentWinsDifference,HomeH2HPoints,AwayH2HPoints,H2HPointsDifference,HomeAvgPoints,AwayAvgPoints,HomeAvgGoalsFor,AwayAvgGoalsFor,HomeAvgGoalsAgainst,AwayAvgGoalsAgainst,Result
Charlton,Man City,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Chelsea,West Ham,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Coventry,Middlesbrough,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,A
Derby,Southampton,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,D
Leeds,Everton,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Leicester,Aston Villa,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,D
Liverpool,Bradford,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Sunderland,Arsenal,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Tottenham,Ipswich,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Man United,Newcastle,1500.0,1500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,H
Arsenal,Liverpool,1491.4292623481676,1508.5707376518324,-17.14147530366472,0,3,0,1,1,0,-1,1,0,1,0,0,1,0,-3,-2,-1,0,0,0,0.0,3.0,0.0,1.0,1.0,0.0,H
Bradford,Chelsea,1491.4292623481676,1508.5707376518324,-17.14147530366472,0,3,0,4,1,2,-1,2,0,1,0,0,1,0,-3,-3,-1,0,0,0,0.0,3.0,0.0,4.0,1.0,2.0,H
Ipswich,Man United,1491.4292623481676,1508.5707376518324,-17.14147530366472,0,3,1,2,3,0,-2,2,0,1,0,0,1,0,-3,-4,-1,0,0,0,0.0,3.0,1.0,2.0,3.0,0.0,D
Middlesbrough,Tottenham,1511.4292623481676,1508.5707376518324,2.85852469633528,3,3,3,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,3.0,1.0,1.0,D
West Ham,Leicester,1491.4292623481676,1498.5707376518324,-7.14147530366472,0,1,2,0,4,0,-2,0,0,0,0,1,1,0,-1,-2,0,0,0,0,0.0,1.0,2.0,0.0,4.0,0.0,A
Newcastle,Derby,1491.4292623481676,1498.5707376518324,-7.14147530366472,0,1,0,2,2,2,-2,0,0,0,0,1,1,0,-1,-2,0,0,0,0,0.0,1.0,0.0,2.0,2.0,2.0,H
Southampton,Coventry,1501.4292623481676,1488.5707376518324,12.85852469633528,1,0,2,1,2,3,0,-2,0,0,1,0,0,1,1,2,0,0,0,0,1.0,0.0,2.0,1.0,2.0,3.0,A
Everton,Charlton,1491.4292623481676,1508.5707376518324,-17.14147530366472,0,3,0,4,2,0,-2,4,0,1,0,0,1,0,-3,-6,-1,0,0,0,0.0,3.0,0.0,4.0,2.0,0.0,H
Man City,Sunderland,1491.4292623481676,1508.5707376518324,-17.14147530366472,0,3,0,1,4,0,-4,1,0,1,0,0,1,0,-3,-5,-1,0,0,0,0.0,3.0,0.0,1.0,4.0,0.0,H
Southampton,Liverpool,1489.6395335534976,1499.5136723864475,-9.874138832949939,1,3,3,1,4,2,-1,-1,0,1,1,0,1,1,-2,0,-1,0,0,0,0.5,1.5,1.5,0.5,2.0,1.0,D
Arsenal,Charlton,1500.4863276135525,1499.5136723864475,0.9726552271049513,3,3,2,4,1,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.5,1.5,1.0,2.0,0.5,1.5,H
Bradford,Leicester,1500.4863276135525,1509.7980859851446,-9.311758371592077,3,4,2,1,1,0,1,1,1,1,0,1,1,0,-1,0,0,0,0,0,1.5,2.0,1.0,0.5,0.5,0.0,D
Everton,Derby,1500.4863276135525,1489.7980859851446,10.688241628407923,3,1,3,4,2,5,1,-1,1,0,0,1,1,1,2,2,1,0,0,0,1.5,0.5,1.5,2.0,1.0,2.5,D
Ipswich,Sunderland,1490.4863276135525,1499.5136723864475,-9.027344772895049,1,3,2,3,4,4,-2,-1,0,1,1,0,1,1,-2,-1,-1,0,0,0,0.5,1.5,1.0,1.5,2.0,2.0,H
Man City,Coventry,1500.4863276135525,1500.3604664465024,0.12586116705006134,3,3,4,3,6,4,-2,-1,1,1,0,0,1,1,0,-1,0,0,0,0,1.5,1.5,2.0,1.5,3.0,2.0,A
Middlesbrough,Leeds,1509.9195022265021,1508.5707376518324,1.348764574669758,4,3,4,2,2,0,2,2,1,1,1,0,0,0,1,0,0,0,0,0,2.0,3.0,2.0,2.0,1.0,0.0,A
Newcastle,Tottenham,1500.2019140148554,1510.0804977734979,-9.878583758642435,3,4,3,4,4,2,-1,2,1,1,0,1,1,0,-1,-3,0,0,0,0,1.5,2.0,1.5,2.0,2.0,1.0,H
West Ham,Man United,1480.2019140148554,1509.5136723864475,-29.311758371592077,0,4,2,3,5,1,-3,2,0,1,0,1,2,0,-4,-5,-1,0,0,0,0.0,2.0,1.0,1.5,2.5,0.5,D
Aston Villa,Chelsea,1501.4292623481676,1499.5136723864475,1.9155899617201158,1,3,0,4,0,4,0,0,0,1,1,0,0,1,-2,0,-1,0,0,0,1.0,1.5,0.0,2.0,0.0,2.0,D
Leeds,Man City,1520.0380062634792,1489.053516875317,30.984489388162274,6,3,4,5,1,8,3,-3,2,1,0,0,0,2,3,6,1,0,0,0,3.0,1.0,2.0,1.6666666666666667,0.5,2.6666666666666665,A
Man United,Bradford,1510.1084250795564,1499.3205504780656,10.787874601490785,5,4,5,2,3,1,2,1,1,1,2,1,0,1,1,1,0,0,0,0,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,H
Sunderland,West Ham,1490.687523579199,1479.6071613217466,11.080362257452407,3,1,3,4,5,7,-2,-3,1,0,0,1,2,2,2,1,1,0,0,0,1.0,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,D
Tottenham,Everton,1501.2301790364975,1498.7571306129405,2.4730484235569747,4,4,4,5,4,4,0,1,1,1,1,1,1,1,0,-1,0,0,0,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,H
Leicester,Ipswich,1510.9638631206315,1499.312476420801,11.651386699830482,5,4,1,3,0,4,1,-1,1,1,2,1,0,1,1,2,0,0,0,0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.0,1.3333333333333333,H
Liverpool,Aston Villa,1500.663479893501,1499.9460342570894,0.7174456364116395,4,2,4,1,5,1,-1,0,1,0,1,2,1,0,2,-1,1,0,0,0,1.3333333333333333,1.0,1.3333333333333333,0.5,1.6666666666666667,0.5,H
Derby,Middlesbrough,1491.5272829857565,1498.4522336148552,-6.924950629098703,2,4,6,5,7,4,-1,1,0,1,2,1,1,1,-2,-2,-1,0,0,0,0.6666666666666666,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,D
Coventry,Newcastle,1511.793277184738,1509.0522327518559,2.741044432882063,6,6,5,5,5,4,0,1,2,2,0,0,1,1,0,-1,0,0,0,0,2.0,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,A
Chelsea,Arsenal,1500.9969004775257,1509.029652922325,-8.032752444799371,4,6,5,7,5,4,0,3,1,2,1,0,1,1,-2,-3,-1,0,0,0,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,D
Charlton,Southampton,1490.970347077675,1488.489726046444,2.4806210312308394,3,2,7,6,8,7,-1,-1,1,0,0,2,2,1,1,0,1,0,0,0,1.0,0.6666666666666666,2.3333333333333335,2.0,2.6666666666666665,2.3333333333333335,D
Bradford,Arsenal,1491.0525292613777,1510.2317267680673,-19.17919750668966,4,7,2,9,7,6,-5,3,1,2,1,1,2,1,-3,-8,-1,0,0,0,1.0,1.75,0.5,2.25,1.75,1.5,D
Coventry,Leeds,1500.2868215116773,1507.7484020670674,-7.461580555390128,6,6,5,5,7,3,-2,2,2,2,0,0,2,1,0,-4,0,0,0,0,1.5,2.0,1.25,1.6666666666666667,1.75,1.0,D
Ipswich,Aston Villa,1491.0685531030124,1491.3955185224695,-0.32696541945711033,4,2,4,2,6,4,-2,-2,1,0,1,2,2,1,2,0,1,0,0,0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.5,1.3333333333333333,A
Leicester,Southampton,1519.20778643842,1489.988855411102,29.21893102731815,8,3,3,7,1,8,2,-1,2,0,2,3,0,1,5,3,2,0,0,0,2.0,0.75,0.75,1.75,0.25,2.0,H
Liverpool,Man City,1509.213995628121,1501.3431210717288,7.870874556392209,7,6,7,7,6,9,1,-2,2,2,1,0,1,2,1,3,0,0,0,0,1.75,1.5,1.75,1.75,1.5,2.25,H
Man United,Sunderland,1518.3764462962442,1488.9473800499695,29.429066246274715,8,4,11,4,3,6,8,-2,2,1,2,1,0,2,4,10,1,0,0,0,2.0,1.0,2.75,1.0,0.75,1.5,H
Middlesbrough,Everton,1499.6857196799326,1490.256046918078,9.42967276185459,5,4,8,7,7,7,1,0,1,1,2,1,1,2,1,1,0,0,0,0,1.25,1.0,2.0,1.75,1.75,1.75,A
Newcastle,Chelsea,1520.5586884249165,1499.7948266317835,20.763861793132946,9,5,7,7,4,7,3,0,3,1,0,2,1,1,4,3,2,0,0,0,2.25,1.25,1.75,1.75,1.0,1.75,D
Derby,Charlton,1490.2937969206791,1489.471217713017,0.8225792076621019,3,4,9,8,10,9,-1,-1,0,1,3,1,1,2,-1,0,-1,0,0,0,0.75,1.0,2.25,2.0,2.5,2.25,D
Tottenham,West Ham,1509.73126273136,1481.3473048509761,28.383957880383832,7,2,7,5,6,8,1,-3,2,0,1,2,1,2,5,4,2,0,0,0,1.75,0.5,1.75,1.25,1.5,2.0,H
Sunderland,Derby,1481.194519228296,1488.8413503740305,-7.646831145734495,4,4,4,11,9,12,-5,-1,1,0,1,4,3,1,0,-4,1,0,0,0,0.8,0.8,0.8,2.2,1.8,2.4,H
Leeds,Ipswich,1508.9666747956385,1479.6485105701004,29.318164225538112,7,4,5,5,3,8,2,-3,2,1,1,1,1,3,3,5,1,0,0,0,1.75,0.8,1.25,1.0,0.75,1.6,A
Everton,Man United,1501.9500806801477,1526.1293071179177,-24.179226437770012,7,11,9,14,8,3,1,11,2,3,1,2,2,0,-4,-10,-1,0,0,0,1.4,2.2,1.8,2.8,1.6,0.6,A
Southampton,Newcastle,1482.2302510426052,1518.5496448912472,-36.319393848641994,3,10,7,7,9,4,-2,3,0,3,3,1,2,1,-7,-5,-3,0,0,0,0.6,2.0,1.4,1.4,1.8,0.8,H
Aston Villa,Bradford,1502.8155610553815,1490.1677549086476,12.647806146733956,5,5,4,3,5,8,-1,-5,1,1,2,2,1,2,0,4,0,0,0,0,1.25,1.0,1.0,0.6,1.25,1.6,H
Arsenal,Coventry,1511.1165011207975,1499.0685487831063,12.047952337691186,8,7,10,5,7,7,3,-2,2,2,2,1,1,2,1,5,0,0,0,0,1.6,1.4,2.0,1.0,1.4,1.4,H
Charlton,Tottenham,1490.9236642596657,1517.5127044607905,-26.589040201124817,5,10,10,8,11,6,-1,2,1,3,2,1,2,1,-5,-3,-2,0,0,0,1.0,2.0,2.0,1.6,2.2,1.2,H
Chelsea,Leicester,1501.8038701654527,1526.9663908069167,-25.16252064146397,6,11,7,4,7,1,0,3,1,3,3,2,1,0,-5,-3,-2,0,0,0,1.2,2.2,1.4,0.8,1.4,0.2,A
Man City,Middlesbrough,1492.9935436982455,1487.991685917863,5.001857780382579,6,5,9,9,12,9,-3,0,2,1,0,2,3,2,1,-3,1,0,0,0,1.2,1.0,1.8,1.8,2.4,1.8,D
West Ham,Liverpool,1473.5658631215456,1517.5635730016043,-43.997709880058665,2,10,5,10,9,8,-4,2,0,3,2,1,3,1,-8,-6,-3,0,0,0,0.4,2.0,1.0,2.0,1.8,1.6,D
Tottenham,Man City,1508.1855081010794,1491.4235564980797,16.761951602999716,7,7,5,10,6,9,-1,1,2,2,1,1,2,2,0,-2,0,0,0,0,1.4,1.4,1.0,2.0,1.2,1.8,D
Newcastle,Charlton,1508.9432010112241,1500.2508606193767,8.692340391847438,10,5,7,7,4,11,3,-4,3,1,1,2,1,2,5,7,2,0,0,0,2.0,1.0,1.4,1.4,0.8,2.2,A
Middlesbrough,Aston Villa,1489.5616731180287,1511.0317035959545,-21.470030477925775,3,8,7,6,9,5,-2,1,0,2,3,2,2,1,-5,-3,-2,0,0,0,0.6,1.6,1.4,1.2,1.8,1.0,D
Man United,Chelsea,1536.871123493535,1491.0902053664893,45.78091812704565,11,3,15,3,4,7,11,-4,3,0,2,3,0,2,8,15,3,0,0,0,2.2,0.6,3.0,0.6,0.8,1.4,D
Ipswich,Arsenal,1491.8926186995473,1519.3493645715514,-27.45674587200415,7,11,6,12,6,7,0,5,2,3,1,2,2,0,-4,-5,-1,0,0,0,1.4,2.2,1.2,2.4,1.2,1.4,D
Derby,Leeds,1480.0543699573163,1496.7225666661916,-16.668196708875257,3,7,10,6,12,5,-2,1,0,2,3,1,2,2,-4,-3,-2,0,0,0,0.6,1.4,2.0,1.2,2.4,1.0,D
Coventry,West Ham,1490.8356853323523,1473.393120509835,17.442564822517397,7,3,5,4,6,6,-1,-2,2,0,1,3,2,2,4,1,2,0,0,0,1.4,0.6,1.0,0.8,1.2,1.2,A
Bradford,Southampton,1481.9516123680746,1491.8366949226283,-9.885082554553719,5,5,3,7,9,7,-6,0,1,1,2,2,2,2,0,-6,0,0,0,0,1.0,1.0,0.6,1.4,1.8,1.4,A
Liverpool,Sunderland,1517.736315613315,1489.9814996450102,27.754815968304683,8,4,10,5,9,10,1,-5,2,1,2,1,1,3,4,6,1,0,0,0,1.6,0.8,2.0,1.0,1.8,2.0,D
Leicester,Everton,1537.6800556058802,1491.2082643045305,46.47179130134964,13,7,6,10,1,9,5,1,4,2,1,1,0,2,6,4,2,0,0,0,2.6,1.4,1.2,2.0,0.2,1.8,D
Southampton,Middlesbrough,1502.9861916072189,1488.7423553161093,14.243836291109574,8,3,7,7,5,9,2,-2,2,0,2,3,1,2,5,4,2,0,0,0,1.6,0.6,1.4,1.4,1.0,1.8,A
West Ham,Bradford,1485.3102541587748,1470.802115683484,14.508138475290707,6,2,7,1,5,10,2,-9,1,0,3,2,1,3,4,11,1,0,0,0,1.2,0.4,1.4,0.2,1.0,2.0,D
Man City,Newcastle,1493.321813455973,1497.269787740817,-3.947974284844122,5,7,6,4,7,3,-1,1,1,2,2,1,2,2,-2,-2,-1,0,0,0,1.0,1.4,1.2,0.8,1.4,0.6,A
Charlton,Coventry,1511.9242738897838,1478.9185516834125,33.005722206371274,8,4,8,3,8,8,0,-5,2,1,2,1,1,3,4,5,1,0,0,0,1.6,0.8,1.6,0.6,1.6,1.6,D
Everton,Ipswich,1493.91571946999,1491.2446807114156,2.6710387585744684,5,7,8,6,10,6,-2,0,1,2,2,1,2,2,-2,-2,-1,0,0,0,1.0,1.4,1.6,1.2,2.0,1.2,A
Aston Villa,Derby,1511.8510213978739,1479.0979360292206,32.753085368653274,8,4,7,9,6,10,1,-1,2,0,2,4,1,1,4,2,2,0,0,0,1.6,0.8,1.4,1.8,1.2,2.0,H
Leeds,Tottenham,1497.6790005942873,1506.2872511431863,-8.608250548898923,5,7,5,4,6,5,-1,-1,1,2,2,1,2,2,-2,0,-1,0,0,0,1.0,1.4,1.0,0.8,1.2,1.0,H
Arsenal,Man United,1519.997302559683,1534.1821055307312,-14.184802971048157,9,11,11,17,8,6,3,11,2,3,3,2,0,0,-2,-8,-1,0,0,0,1.8,2.2,2.2,3.4,1.6,1.2,H
Chelsea,Liverpool,1493.779223329293,1515.5349811194797,-21.755757790186635,4,9,6,11,8,8,-2,3,0,2,4,3,1,0,-5,-5,-2,0,0,0,0.8,1.8,1.2,2.2,1.6,1.6,H
Sunderland,Leicester,1492.1828341388455,1534.9726004404206,-42.78976630157513,5,11,4,6,7,2,-3,4,1,3,2,2,2,0,-6,-7,-2,0,0,0,1.0,2.2,0.8,1.2,1.4,0.4,D
Sunderland,Chelsea,1491.9753367181158,1502.9680747636107,-10.992738045494889,6,6,4,8,6,7,-2,1,1,1,3,3,1,1,0,-3,0,0,0,0,1.2,1.2,0.8,1.6,1.2,1.4,H
Man City,Bradford,1482.0040379483012,1472.6377639776942,9.366273970606926,5,2,5,2,6,11,-1,-9,1,0,2,2,2,3,3,8,1,0,0,0,1.0,0.4,1.0,0.4,1.2,2.2,H
Leeds,Charlton,1506.4932548025395,1509.579617626893,-3.0863628243535004,5,9,7,7,8,5,-1,2,1,2,2,3,2,0,-4,-3,-1,0,0,0,1.0,1.8,1.4,1.4,1.6,1.0,H
Leicester,Man United,1535.1800978611502,1525.209313832305,9.970784028845173,11,10,6,15,2,5,4,10,3,3,2,1,0,1,1,-6,0,0,0,0,2.2,2.0,1.2,3.0,0.4,1.0,A
Everton,Southampton,1482.4112330550643,1491.1578952330724,-8.746662178008137,4,7,6,5,11,5,-5,0,1,2,1,1,3,2,-3,-5,-1,0,0,0,0.8,1.4,1.2,1.0,2.2,1.0,D
Coventry,Tottenham,1481.2632079463033,1497.4729969349341,-16.209788988630862,2,7,3,7,9,7,-6,0,0,2,2,1,3,2,-5,-6,-2,0,0,0,0.4,1.4,0.6,1.4,1.8,1.4,H
Arsenal,Aston Villa,1528.9700942581092,1519.5132380353605,9.456856222748684,9,10,7,10,5,6,2,4,2,3,3,1,0,1,-1,-2,-1,0,0,0,1.8,2.0,1.4,2.0,1.0,1.2,H
Ipswich,West Ham,1502.7491671263415,1483.4746058645646,19.274561261776853,7,6,8,6,6,4,2,2,2,1,1,3,2,1,1,0,1,0,0,0,1.4,1.2,1.6,1.2,1.2,0.8,D
Derby,Liverpool,1471.435719391734,1506.346129685162,-34.91041029342796,3,8,8,8,12,8,-4,0,0,2,3,2,2,1,-5,-4,-2,0,0,0,0.6,1.6,1.6,1.6,2.4,1.6,A
Middlesbrough,Newcastle,1500.5706516902558,1508.5875632484888,-8.016911558233005,6,7,9,3,8,3,1,0,1,2,3,1,1,2,-1,1,-1,0,0,0,1.2,1.4,1.8,0.6,1.6,0.6,A
